data,giorno,n_scuola,disposizione,ricostruito,avanti,dietro_sx,centro,dietro_dx
2027-03-31,mer,123,MLAO,,M,L,A,O
2027-04-01,gio,124,AOML,,A,O,M,L
2027-04-02,ven,125,OMLA,,O,M,L,A
2027-04-05,lun,126,LAOM,,L,A,O,M
2027-04-06,mar,127,MLAO,,M,L,A,O
2027-04-07,mer,128,AOML,,A,O,M,L
2027-04-08,gio,129,OMLA,,O,M,L,A
2027-04-09,ven,130,LAOM,,L,A,O,M
2027-04-12,lun,131,MLAO,,M,L,A,O
2027-04-13,mar,132,AOML,,A,O,M,L
2027-04-14,mer,133,OMLA,,O,M,L,A
2027-04-15,gio,134,LAOM,,L,A,O,M
2027-04-16,ven,135,MLAO,,M,L,A,O
2027-04-19,lun,136,AOML,,A,O,M,L
2027-04-20,mar,137,OMLA,,O,M,L,A
2027-04-21,mer,138,LAOM,,L,A,O,M
2027-04-22,gio,139,MLAO,,M,L,A,O
2027-04-23,ven,140,AOML,,A,O,M,L
2027-04-26,lun,141,OMLA,,O,M,L,A
2027-04-27,mar,142,LAOM,,L,A,O,M
2027-04-28,mer,143,MLAO,,M,L,A,O
2027-04-29,gio,144,AOML,,A,O,M,L
2027-05-03,lun,145,OMLA,,O,M,L,A
2027-05-04,mar,146,LAOM,,L,A,O,M
2027-05-05,mer,147,MLAO,,M,L,A,O
2027-05-06,gio,148,AOML,,A,O,M,L
2027-05-07,ven,149,OMLA,,O,M,L,A
2027-05-10,lun,150,LAOM,,L,A,O,M
2027-05-11,mar,151,MLAO,,M,L,A,O
2027-05-12,mer,152,AOML,,A,O,M,L
2027-05-13,gio,153,OMLA,,O,M,L,A
2027-05-14,ven,154,LAOM,,L,A,O,M
2027-05-17,lun,155,MLAO,,M,L,A,O
2027-05-18,mar,156,AOML,,A,O,M,L
2027-05-19,mer,157,OMLA,,O,M,L,A
2027-05-20,gio,158,LAOM,,L,A,O,M
2027-05-21,ven,159,MLAO,,M,L,A,O
2027-05-24,lun,160,AOML,,A,O,M,L
2027-05-25,mar,161,OMLA,,O,M,L,A
2027-05-26,mer,162,LAOM,,L,A,O,M
2027-05-27,gio,163,MLAO,,M,L,A,O
2027-05-28,ven,164,AOML,,A,O,M,L
2027-05-31,lun,165,OMLA,,O,M,L,A
2027-06-01,mar,166,LAOM,,L,A,O,M
2027-06-03,gio,167,MLAO,,M,L,A,O
2027-06-04,ven,168,AOML,,A,O,M,L
2027-06-07,lun,169,OMLA,,O,M,L,A
2027-06-08,mar,170,LAOM,,L,A,O,M
